Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population
2020-05-01,4569,146,171,1,1083,3315,1,124,5,37006,1003,Morocco,Africa,,
2020-05-02,4729,160,173,2,1256,3300,1,128,5,39367,1067,Morocco,Africa,,
2020-05-03,4903,174,174,1,1438,3291,1,133,5,42112,1141,Morocco,Africa,,
2020-05-04,5053,150,179,5,1653,3221,1,137,5,45302,1227,Morocco,Africa,,
2020-05-05,5219,-1,181,-1,1838,3200,1,141,5,49570,1343,Morocco,Africa,,
2020-05-06,5408,189,183,2,2017,3208,1,147,5,52958,1435,Morocco,Africa,,
2020-05-07,5548,140,183,-1,2179,3186,1,150,5,56492,1531,Morocco,Africa,,
2020-05-08,5711,-1,186,-1,2324,3201,1,155,5,59871,1622,Morocco,Africa,,
2020-05-09,5910,-1,186,-1,2461,3263,1,160,5,63059,1708,Morocco,Africa,,
2020-05-10,6063,153,188,2,2554,3321,1,164,5,65924,1786,Morocco,Africa,,
2020-05-11,6281,218,188,-1,2811,3282,1,170,5,68980,1869,Morocco,Africa,,
2020-05-12,6418,137,188,-1,2991,3239,1,174,5,71815,1946,Morocco,Africa,,
2020-05-13,6512,94,188,-1,3131,3193,1,176,5,75870,2056,Morocco,Africa,,
2020-05-14,6607,95,190,2,3310,3107,1,179,5,77922,2111,Morocco,Africa,,
2020-05-15,6652,45,190,-1,3400,3062,1,181,5,81616,2215,Morocco,Africa,52,36852978
2020-05-16,6741,89,192,2,3487,3062,1,183,5,85004,2306,Morocco,Africa,54,36854173
2020-05-17,6870,129,192,-1,3660,3018,1,186,5,89957,2441,Morocco,Africa,54,36855368
2020-05-18,6952,82,192,-1,3758,3002,1,189,5,94595,2567,Morocco,Africa,54,36856563
2020-05-19,7023,71,193,1,3901,2929,1,191,5,100367,2723,Morocco,Africa,54,36857758
2020-05-20,7133,110,194,1,4098,2841,1,194,5,104915,2846,Morocco,Africa,53,36858953
2020-05-21,7211,78,196,2,4280,2735,1,196,5,112997,3066,Morocco,Africa,54,36860148
2020-05-22,7332,121,197,1,4377,2758,1,199,5,123402,3348,Morocco,Africa,54,36861343
2020-05-23,7406,74,198,1,4638,2570,1,201,5,133561,3623,Morocco,Africa,54,36862538
2020-05-24,7433,27,199,1,4703,2531,1,202,5,142127,3855,Morocco,Africa,56,36863733
2020-05-25,7532,99,200,1,4774,2558,1,204,5,152203,4129,Morocco,Africa,56,36864928
2020-05-26,7556,24,202,2,4841,2513,1,205,5,155579,4220,Morocco,Africa,57,36866123
2020-05-27,7601,-1,202,-1,4978,2421,1,206,5,170713,4630,Morocco,Africa,58,36868513
2020-05-28,7643,42,202,-1,5195,2246,1,207,5,180189,4887,Morocco,Africa,59,36868513
2020-05-29,7714,71,202,-1,5271,2241,1,209,5,190061,5155,Morocco,Africa,60,36869708
2020-05-30,7780,66,204,2,5401,2175,1,211,6,199998,5424,Morocco,Africa,59,36870903
2020-05-31,7807,27,205,1,5459,2143,18,212,6,209139,5672,Morocco,Africa,61,36872098
